Year,Asset1,Asset2,Asset3,Asset4,Asset5,Asset6,Asset7,Asset8
1,7.5,-5.8,-14.8,-18.5,-30.2,2.3,-14.9,67.7
2,8.4,2.0,-26.5,-28.4,-33.8,0.2,-23.2,72.2
3,6.1,5.6,37.1,38.5,31.8,12.3,35.4,-24.0
4,5.2,17.5,23.6,26.6,28.0,15.6,2.5,-4.0
5,5.5,0.2,-7.4,-2.6,9.3,3.0,18.1,20.0
6,7.7,-1.8,6.4,9.3,14.6,1.2,32.6,29.5
7,10.9,-2.2,18.4,25.6,30.7,2.3,4.8,21.2
8,12.7,-5.3,32.3,33.7,36.7,3.1,22.6,29.6
9,15.6,0.3,-5.1,-3.7,-1.0,7.3,-2.3,-31.2
10,11.7,46.5,21.5,18.7,21.3,31.1,-1.9,8.4
11,9.2,-1.5,22.4,23.5,21.7,8.0,23.7,-12.8
12,10.3,15.9,6.1,3.0,-9.7,15.0,7.4,-17.5
13,8.0,36.6,31.6,32.6,33.3,21.3,56.2,0.6
14,6.3,30.9,18.6,16.1,8.6,15.6,69.4,21.6
15,6.1,-7.5,5.2,2.3,-4.1,2.3,24.6,24.4
16,7.1,8.6,16.5,17.9,16.5,7.6,28.3,-13.9
17,8.7,21.2,31.6,29.2,20.4,14.2,10.5,-2.3
18,8.0,5.4,-3.2,-6.2,-17.0,8.3,-23.4,-7.8
19,5.7,19.3,30.4,34.2,59.4,16.1,12.1,-4.2
20,3.6,7.9,7.6,9.0,17.4,7.6,-12.2,-7.4
21,3.1,21.7,10.0,11.3,16.2,11.0,32.6,14.6
22,4.5,-11.1,1.2,-0.1,-3.2,-3.5,7.8,-1.0
